Key,English,Dutch
PROPTROUPESKILL_TXT_000000,Call,Oproepen
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,Informeerd alle partij leden van de locatie van de partij leider.
PROPTROUPESKILL_TXT_000002,Blitz,Bliksem
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,Partij leider beveelt de partij leden om een doel aan te vallen.
PROPTROUPESKILL_TXT_000004,Retreat,Terugtrekken
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,Partij leider beveelt alle partij leden om terug te vallen.
PROPTROUPESKILL_TXT_000008,Precision,Precisie
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.
PROPTROUPESKILL_TXT_000010,Linked Attack,Gelinkte Aanval
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,Elk partij lid in de buurt van de partij leider voegt 5% bonus aanval toe aan de schade van de partij leider.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Lucky Drop
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,Verhoogt de kans dat monsters uniekere items droppen.
PROPTROUPESKILL_TXT_000014,Resting,Rusten
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.","Partij leden herstellen 1.5 keer sneller. Als de partij leider een Assist is, dan herstellen de leden 1.8 keer sneller."
PROPTROUPESKILL_TXT_000016,Gift Box,Geschenkdoos
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,Verhoogt het aantal items dat gedropt wordt door monsters.
PROPTROUPESKILL_TXT_000018,Global Attack,Globale Aanval
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.
