Key,English,Dutch
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Erons Fabriek II
PATROL_DESTINATION_000003,Iblis Temple,Iblis Tempel
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Dieven van de Leren Bergen
PATROL_DESTINATION_000005,Base Camp of the Thieves,Basis Kamp van de Dieven
PATROL_DESTINATION_000006,Mars Dungeon,Mars Kerker
PATROL_DESTINATION_000007,Altar of Violet,Altar of Violet
PATROL_DESTINATION_000008,Depths of the Dorian,Depths of the Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Lair of the Okean
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange Entrance,Strange Entrance
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,The Lost Treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
