Key,English
PROPTROUPESKILL_TXT_000000,Call
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.
PROPTROUPESKILL_TXT_000002,Blitz
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.
PROPTROUPESKILL_TXT_000004,Retreat
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.
PROPTROUPESKILL_TXT_000008,Precision
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.
PROPTROUPESKILL_TXT_000010,Linked Attack
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.
PROPTROUPESKILL_TXT_000012,Lucky Drop
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.
PROPTROUPESKILL_TXT_000014,Resting
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster."
PROPTROUPESKILL_TXT_000016,Gift Box
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.
PROPTROUPESKILL_TXT_000018,Global Attack
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.
