Key,English
LANGUAGE_CODE,EN
UI_HOME_TITLE,Home
UI_HOME_GUESTCHAR,Guest Character
UI_HOME_NEWCHAR,New Character
UI_HOME_NEWCHAR_TIP,Create a new character without account.
UI_HOME_LOGIN,Sign In
UI_HOME_REGISTER,Sign Up
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game."
UI_HOME_ALREADYACCOUNT,Already have an account?
UI_HOME_WEBSITE,Website
UI_HOME_CREDITS,Credits
UI_HOME_OR,Or
UI_HOME_LOGIN_DOTS,Email:
UI_HOME_PASSWORD,Password:
UI_HOME_RECOVER,Forgot password?
UI_SELECTSERVER_TITLE,Select Server
UI_SELECTSERVER_BACK,Back
UI_SELECTSERVER_NEXT,Next
UI_SELECTSERVER_FULL,full
UI_SELECTSERVER_BUSY,busy
UI_SELECTSERVER_BEST,best
UI_SELECTSERVER_NEWNAME,Please enter another name:
UI_SELECTSERVER_NAMETITLE,Character Name
UI_CHARLIST_TITLE,Characters
UI_CHARLIST_PLAY,Play
UI_CHARLIST_NEW,New
UI_CHARLIST_DELETE,Delete
UI_DELETECHAR_TITLE,Delete Character
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password
UI_DELETECHAR_NOPASS,Do you confirm?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week."
UI_NEWCHAR_NAME,Name:
UI_NEWCHAR_GIRL,Girl
UI_NEWCHAR_BOY,Boy
UI_MSGBOX_START,Start
UI_MSGBOX_OK,Ok
UI_MSGBOX_RETRY,Retry
UI_MSGBOX_CANCEL,Cancel
UI_MSGBOX_YES,Yes
UI_MSGBOX_NO,No
UI_LOADINGSCREEN,"Loading, please wait..."
UI_OPTION_TITLE,Options
UI_OPTION_MUSIC,Music
UI_OPTION_SOUND,Sound
UI_OPTION_TEXQUALITY,Textures
UI_OPTION_TEXTOON,Cartoon
UI_OPTION_TEXHIGH,High
UI_OPTION_TEXMID,Medium
UI_OPTION_TEXLOW,Low
UI_OPTION_WEATHER,Weather
UI_OPTION_LANGUAGE,Language
UI_OPTION_SAVE,Save
UI_NAVIGATOR_PLAYER,Player
UI_NAVIGATOR_PARTY,Party
UI_NAVIGATOR_NPC,NPC
UI_NAVIGATOR_MONSTER,Monster
UI_PRIVACY_NOTICE,Privacy Policy
UI_MSGBOX_ACCEPT,Accept
UI_MSGBOX_DECLINE,Decline
UI_MSGBOX_CLOSE,Close
UI_OPTION_SHADOWS,Shadows
