Key,English,Filipino
PROPTROUPESKILL_TXT_000000,Call,Call
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,Ituturo sa lahat ng mga miyembro ng partido ang lokasyon ng lider ng partido.
PROPTROUPESKILL_TXT_000002,Blitz,Blitz
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,Uutusan ng lider ng partido ang mga miyembro na atakihin ang napili niyang kalaban. 
PROPTROUPESKILL_TXT_000004,Retreat,Retreat
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,Uutusan ng lider ng partido ang lahat ng mga miyembro ng partido na umatras sa kalaban. 
PROPTROUPESKILL_TXT_000008,Precision,Precision
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.
PROPTROUPESKILL_TXT_000010,Linked Attack,Linked Attack
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,Ang bawat miyembro ng partido sa paligid ng lider ay magdadagdag ng 5% bonus sa pinsala ng lider ng partido.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Lucky Drop
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,Tataas ang tyansa ng lahat ng miyembro ng partido na makakuha ng unique items sa mga Masquerpets. 
PROPTROUPESKILL_TXT_000014,Resting,Resting
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.","Bibilis ang pag-galing ng mga miyembro ng partido ng 1.5 beses. Kung ang lider ng partido ay isang Assist, tataas ito sa 1.8 beses."
PROPTROUPESKILL_TXT_000016,Gift Box,Gift Box
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,Dadami ang makukuhang items sa mga Masquerpets. 
PROPTROUPESKILL_TXT_000018,Global Attack,Global Attack
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,Bawat party member ay makakakuha ng 2.5% na dagdag sa damage sa bawat miyembro ng party malapit sa kanila. Di makukuha ng leader ito kung aktibo ang Linked Attack.
