Key,English,French
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1 : Usine des Erons II
PATROL_DESTINATION_000003,Iblis Temple,Temple d'Ivillis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Voleurs des montagnes de Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Repaire des Voleurs
PATROL_DESTINATION_000006,Mars Dungeon,Mine de Mas
PATROL_DESTINATION_000007,Altar of Violet,Autel Pourpre
PATROL_DESTINATION_000008,Depths of the Dorian,Profondeurs des Dorians
PATROL_DESTINATION_000009,Lair of the Okean,Repaire des Okéans
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange Entrance,Entrée étrange
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,Le trésor perdu d'Hernéos
PATROL_DESTINATION_000013,Kaillun Forest,Forêt de Kaillun
PATROL_DESTINATION_000014,Ankou Asylum,L'asile d'Ankou
