Key,English,German
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Erons Fabrik II
PATROL_DESTINATION_000003,Iblis Temple,Ivillis Tempel
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Diebe des Leren Gebirges
PATROL_DESTINATION_000005,Base Camp of the Thieves,Basislager der Diebe
PATROL_DESTINATION_000006,Mars Dungeon,Mas Dungeon
PATROL_DESTINATION_000007,Altar of Violet,Violet Altar
PATROL_DESTINATION_000008,Depths of the Dorian,Dorians Tiefen
PATROL_DESTINATION_000009,Lair of the Okean,Okeans Hort
PATROL_DESTINATION_000010,Date Location,Verabredungsort
PATROL_DESTINATION_000011,Strange Entrance,Seltsamer Eingang
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,Der verlorene Schatz von Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Wald von Kaillun
PATROL_DESTINATION_000014,Ankou Asylum,Ankous Zuflucht
