Key,English,German
PRODUCTION_RECIPE_NAME_PURIFIEDWATER,Purified Water,Gereinigtes Wasser
PRODUCTION_RECIPE_NAME_WHITEREAGENT,White reagent,Weißes Reagenz
PRODUCTION_RECIPE_NAME_BLUEREAGENT,Blue reagent,Blaues Reagenz
PRODUCTION_RECIPE_NAME_REDREAGENT,Red reagent,Rotes Reagenz
PRODUCTION_RECIPE_NAME_GREENREAGENT,Green reagent,Grünes Reagenz
PRODUCTION_RECIPE_NAME_YELLOWREAGENT,Yellow reagent,Gelbes Reagenz
PRODUCTION_RECIPE_NAME_GOLDREAGENT,Gold reagent,Goldenes Reagenz
PRODUCTION_RECIPE_NAME_VITALDRINK100,VitalDrink 100,Vitaltrank 100
PRODUCTION_RECIPE_NAME_VITALDRINK200,VitalDrink 200,Vitaltrank 200
PRODUCTION_RECIPE_NAME_FIRSTREFRESHER,First Refresher,Erster Auffrischer
PRODUCTION_RECIPE_NAME_GRAYPILL,Gray Pill,Graue Pille
PRODUCTION_RECIPE_NAME_SECONDREFRESHER,Second Refresher,Zweiter Auffrischer
PRODUCTION_RECIPE_NAME_PINEOIL,Pine Oil,Kiefernöl
PRODUCTION_RECIPE_NAME_VITALDRINK300,VitalDrink 300,VitalDrink 300
PRODUCTION_RECIPE_NAME_VITALDRINK400,VitalDrink 400,VitalDrink 400
PRODUCTION_RECIPE_NAME_VITALDRINK500,VitalDrink 500,VitalDrink 500
PRODUCTION_RECIPE_NAME_VITALDRINK600,VitalDrink 600,VitalDrink 600
PRODUCTION_RECIPE_NAME_VITALDRINK700,VitalDrink 700,VitalDrink 700
PRODUCTION_RECIPE_NAME_VITALDRINK800,VitalDrink 800,VitalDrink 800
PRODUCTION_RECIPE_NAME_YELLOWPILL,Yellow Pill,Gelbe Pille
PRODUCTION_RECIPE_NAME_BLUEPILL,Blue Pill,Blaue Pille
PRODUCTION_RECIPE_NAME_REDPILL,Red Pill,Rote Pille
PRODUCTION_RECIPE_NAME_THIRDREFRESHER,Third Refresher,Third Refresher
PRODUCTION_RECIPE_NAME_FOURTHREFRESHER,Fourth Refresher,Fourth Refresher
PRODUCTION_RECIPE_NAME_FIFTHREFRESHER,Fifth Refresher,Fifth Refresher
PRODUCTION_RECIPE_NAME_SIXTHREFRESHER,Sixth Refresher,Sixth Refresher
PRODUCTION_RECIPE_NAME_SEVENTHREFRESHER,Seventh Refresher,Seventh Refresher
PRODUCTION_RECIPE_NAME_EIGHTHREFRESHER,Eighth Refresher,Eighth Refresher
PRODUCTION_RECIPE_NAME_VITALDRINK900,VitalDrink 900,VitalDrink 900
PRODUCTION_RECIPE_NAME_NINTHREFRESHER,Ninth Refresher,Ninth Refresher
PRODUCTION_RECIPE_NAME_TENTHREFRESHER,Tenth Refresher,Tenth Refresher
PRODUCTION_RECIPE_NAME_GOLDPILL,Gold Pill,Goldpille
PRODUCTION_RECIPE_NAME_SHININGGOLDPILL,Shining Gold Pill,Glänzende Goldpille
PRODUCTION_RECIPE_NAME_CONCOCTIONOFTOUGHSKIN,Concoction of Tough Skin,Mixtur der harten Haut
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRISINGPOWER,Concoction of Rising Power,Mixtur der aufsteigenden Kraft
PRODUCTION_RECIPE_NAME_POTIONOFTHETIGER,Potion of the Tiger,Trank des Tigers
PRODUCTION_RECIPE_NAME_POTIONOFTHERABBIT,Potion of the Rabbit,Trank des Hasen
PRODUCTION_RECIPE_NAME_POTIONOFTHEFOX,Potion of the Fox,Trank des Fuchses
PRODUCTION_RECIPE_NAME_POTIONOFTHELION,Potion of the Lion,Trank des Löwen
PRODUCTION_RECIPE_NAME_CONCOCTIONOFACCURACY,Concoction of Accuracy,Mixtur der Präzision
PRODUCTION_RECIPE_NAME_CONCOCTIONOFEVASION,Concoction of Evasion,Mixtur der Ausweichkunst
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTNESS,Concoction of Swiftness,Mixtur der Schnelligkeit
PRODUCTION_RECIPE_NAME_CONCOCTIONOFCLARITY,Concoction of Clarity,Mixtur der Klarheit
PRODUCTION_RECIPE_NAME_CONCOCTIONOFRECKLESSNESS,Concoction of Recklessness,Mixtur der Tollkühnheit
PRODUCTION_RECIPE_NAME_CONCOCTIONOFBLEEDING,Concoction of Bleeding,Mixtur der Blutung
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Mixtur der flinken Schritte
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Mixtur der schnellen LP-Regeneration
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Mixtur der schnellen MP-Regeneration
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Mixtur der schnellen FP-Regeneration
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Power Refresher
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Ausgenommener namenloser Fisch
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Ausgenommener namenloser Fisch 2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Ausgenommene Garnele
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Ausgenommene Garnele 2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Ausgenommener Kabeljau
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Ausgenommener Kabeljau 2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Ausgenommener Hering
