Key,English,German
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,Eine Anfrage für $QUEST_END_ITEM_NAME$s ist rausgegangen. Wirst du diese Aufgabe annehmen?
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,Eine Anfrage für das Sammeln von Grrr Bandagen ist eingetroffen. Dies soll die medizinische Versorgung für Patienten sicherstellen.
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,Eine Anfrage für das Sammeln von Ampere welches als Material für Batterien für Lampen gebraucht wird ist eingegangen. Die Dwarpet brauchen sie wenn sie nachts arbeiten.
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,"Die neuen Ärzte bitten uns, aus Boopoison ein Anästhetikum zu entwickeln. Willst du den Auftrag annehmen?"
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,Es wurde eine Anfrage für $QUEST_END_ITEM_NAME$ gestellt.
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,"Wir haben eine Anfrage aus dem Rathaus, sie benötigen Rootioe, den Grundstoff der Holzverarbeitung, weil die Holzverarbeitung zum erliegen kommt. Willst du den Auftrag annehmen?"
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,$QUEST_END_ITEM_NAME$ kannst du von jeglicher Art von $QUEST_END_ITEM_MON$ erbeuten.
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,Du kannst $QUEST_END_ITEM_NAME$ von allen Typen von $QUEST_END_ITEM_MON$ sammeln.
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,Du kannst $QUEST_END_ITEM_NAME$ in der Nähe einer Brücke im Norden einsammeln.
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,Du kannst Unknown ID in der nähe der Bangs sammeln.
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,Du kannst Nyanyang Meat in der Nähe von Giant Nyangnyang unter einem Baum finden.
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,Du kannst die Office Documents in der Nähe Mias finden.
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,Du willst sie nicht für mich sammeln? Na gut...
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,Du brauchst mehr $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,Du hast nicht genug $QUEST_END_ITEM_NAME$.
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,Gut gemacht. Du hast die Aufgabe erfolgreich abgeschlossen.
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,Gute Arbeit! Ihr habt die Aufgabe erfolgreich abgeschlossen. Nimm dies für deine Mühe.
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,"$QUEST_END_NPC_NAME$ war froh, dass die Aufgabe abgeschlossen wurde."
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,"$QUEST_END_NPC_NAME$ war froh, dass die Aufgabe abgeschlossen wurde."
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,"$QUEST_END_NPC_NAME$ ist dir sehr dankbar, dass du diese Aufgabe abgeschlossen hast."
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,Party von Is
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,"Sie braucht dich, um Chupim für ihre Party zu sammeln. Wirst du helfen?"
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,"Sie bittet Dich, Chupim für ihre Party zu sammeln."
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),Unbekannte Situation (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,Flaris Pang bittet dich Unknown Letter zu sammeln. Nimmst du den Auftrag an?
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,"Flaris Pang bittet dich, $QUEST_END_ITEM_NAME$ zu sammeln."
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,Flaris Pang bittet dich Unknown ID zu sammeln. Nimmst du den Auftrag an?
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,Fliegendes Board 
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,Dior braucht dich zum Sammeln von Peakyrinds. Wirst du helfen?
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,"Dior möchte, dass Du Peakyrinds sammelst."
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,Neue Suche nach Mop
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,Das Kinderheim braucht Mop für die Kinder. Nimmst du den Auftrag an?
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,"Das Haus der Kinder möchte, dass du 3 Mop sammelst."
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,Gem für Wand
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,"Die Magiervereinigung Madrigal möchte, dass du Poporam für ihre Zauberstäbe sammelst. Wirst du helfen?"
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,"Die Madrigal-Magiervereinigung möchte, dass du 4 Poporam sammelst."
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",Die Keksmaschine von Valin Baget
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,Valin benötigt Slain für seine Keksmaschine. Nimmst du den Auftrag an?
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,Valin benötigt Slain für seine Keksmaschine.
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,Magische Feder herstellen
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,"Mule möchte, dass du Tarin Roots sammelst, damit er einen neuen magischen Federkiel herstellen kann. Wirst du ihm helfen?"
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,"Mule braucht dich, um Tarin-Roots zu sammeln."
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,Nyang Steaks
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,"Rooney möchte, dass du Nyanyangs für ihre Party sammelst. Wirst du ihr helfen?"
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,"Rooney braucht dich, um Nyanyangs zu sammeln."
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,Jubiläumsgeschenk
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,"Marche möchte, dass du Starstones sammelst, um ein Geschenk zum 10-jährigen Jubiläum zu machen. Wirst du helfen?"
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,Marche benötigt Starstones.
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,Likör für Dunkan Gondreman
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,"Dunkan braucht dich, um Golden Wings zu sammeln und einen neuen Likör herzustellen. Wirst du helfen?"
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,Dunkan braucht Golden Wings.
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,Süße Nachspeise für Deadvell
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,"Damian braucht dich, um Blue Honey für ein neues Dessert zu sammeln. Wirst du helfen?"
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,Damian benötigt Blue Honey
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,Verwunschene Puppe
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,"Das Kinderheim benötigt Mia Dolls, um den Kindern ein Geschenk machen zu können. Nimmst du den Auftrag an?"
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,Das Kinderheim benötigt Mia Dolls um den Kindern ein Geschenk zu machen.
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,Gestohlene Dokumente
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,"Juria braucht die Dokumente, welche von den Mias gestohlen wurden. Nimmst du den Auftrag an?"
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,"Juria braucht Dokumente, welche von den Mias gestohlen wurden."
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,Das Hochofenfeuer
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,"Bozman braucht dich, um Furious Match zu sammeln, die er in seinem Hochofen verwenden kann. Wirst du helfen?"
