Key,English,German
LANGUAGE_CODE,EN,DE
UI_HOME_TITLE,Home,Zuhause
UI_HOME_GUESTCHAR,Guest Character,Gastcharakter
UI_HOME_NEWCHAR,New Character,Neuer Charakter
UI_HOME_NEWCHAR_TIP,Create a new character without account.,Erstelle einen neuen Character ohne Account.
UI_HOME_LOGIN,Sign In,Anmelden
UI_HOME_REGISTER,Sign Up,Registrieren
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.","Gib ID & Passwort ein und drücke OK, um dich mit dem Spiel zu verbinden."
UI_HOME_ALREADYACCOUNT,Already have an account?,Hast du bereits einen Account?
UI_HOME_WEBSITE,Website,Webseite
UI_HOME_CREDITS,Credits,Credits
UI_HOME_OR,Or,Oder
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Passwort:
UI_HOME_RECOVER,Forgot password?,Anmeldedaten vergessen?
UI_SELECTSERVER_TITLE,Select Server,Wähle einen Server aus
UI_SELECTSERVER_BACK,Back,Zurück
UI_SELECTSERVER_NEXT,Next,Weiter
UI_SELECTSERVER_FULL,full,Voll
UI_SELECTSERVER_BUSY,busy,Belebt
UI_SELECTSERVER_BEST,best,Empfohlen
UI_SELECTSERVER_NEWNAME,Please enter another name:,Bitte gib einen anderen Namen ein:
UI_SELECTSERVER_NAMETITLE,Character Name,Charakter-Name
UI_CHARLIST_TITLE,Characters,Charaktere
UI_CHARLIST_PLAY,Play,Spielen
UI_CHARLIST_NEW,New,Neu
UI_CHARLIST_DELETE,Delete,Löschen
UI_DELETECHAR_TITLE,Delete Character,Charakter löschen
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,"Passwort, um deinen Charakter zu löschen\nBitte gib das Passwort ein."
UI_DELETECHAR_NOPASS,Do you confirm?,Bestätigst du?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week.","Wenn du einen Charakter löschst, kann der Name eine Woche lang nicht vergeben werden."
UI_NEWCHAR_NAME,Name:,Name
UI_NEWCHAR_GIRL,Girl,Weiblich
UI_NEWCHAR_BOY,Boy,Männlich
UI_MSGBOX_START,Start,Start
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,Erneut versuchen
UI_MSGBOX_CANCEL,Cancel,Abbrechen
UI_MSGBOX_YES,Yes,Ja
UI_MSGBOX_NO,No,Nein
UI_LOADINGSCREEN,"Loading, please wait...","Ladevorgang, bitte warten..."
UI_OPTION_TITLE,Options,Optionen
UI_OPTION_MUSIC,Music,Musik
UI_OPTION_SOUND,Sound,Ton
UI_OPTION_TEXQUALITY,Textures,Texturen
UI_OPTION_TEXTOON,Cartoon,Zeichentrick
UI_OPTION_TEXHIGH,High,Hoch
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Wenig
UI_OPTION_WEATHER,Weather,Wetter
UI_OPTION_LANGUAGE,Language,Sprache
UI_OPTION_SAVE,Save,Speichern
UI_NAVIGATOR_PLAYER,Player,Spieler
UI_NAVIGATOR_PARTY,Party,Party
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Monster
UI_PRIVACY_NOTICE,Privacy Policy,Datenschutzbestimmungen
UI_MSGBOX_ACCEPT,Accept,Akzeptieren
UI_MSGBOX_DECLINE,Decline,Ablehnen
UI_MSGBOX_CLOSE,Close,Close
UI_OPTION_SHADOWS,Shadows,Schatten
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Maximale Distanz
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Maximale Qualität
UI_OPTION_FULLSCREEN,Fullscreen,Vollbild
UI_MOTION_TAB_MOT,Motion,Motion
UI_MOTION_TAB_EMO,Emoticon,Emotion
UI_REVIVAL_TITLE,Resurrection,Resurrection
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar,Wiederbeleben am Loadestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight,Am Lodelight wiederbeleben
UI_CHARINFO_BASE,Base,Basis
UI_CHARINFO_NAME,Name,Name
UI_CHARINFO_LOGIN,Login,Login
UI_CHARINFO_JOB,Job,Job
UI_CHARINFO_LEVEL,Level,Level
UI_CHARINFO_SERVER,Server,Server
UI_CHARINFO_CHANNEL,Channel,Channel: 
UI_CHARINFO_DETAIL,Detail,Details
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Statuspunkte
UI_CHARINFO_APPLY,Apply,OK
UI_CHARINFO_RESET,Reset,Reset
UI_CHARINFO_CHANGESTATE,Change State,Zustand wechseln
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Aktuelle Stat Seite: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page,Stat Seite wechseln
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.,Bestätige die neuen Statuswerte.
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.,Setze die Statuswerte zurück.
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.,Stat Seiten wechseln
