Key,English,Indonesian
PROPTROUPESKILL_TXT_000000,Call,Panggil
PROPTROUPESKILL_TXT_000001,Informs all party members of the party leader's location.,Menginformasikan semua anggota party tentang lokasi party leader.
PROPTROUPESKILL_TXT_000002,Blitz,Blitz
PROPTROUPESKILL_TXT_000003,The party leader orders party members to attack a target.,Party leader memerintahkan anggota party untuk menyerang target.
PROPTROUPESKILL_TXT_000004,Retreat,Mundur
PROPTROUPESKILL_TXT_000005,The party leader orders all party members to retreat.,Party leader memerintahkan semua anggota party untuk mundur.
PROPTROUPESKILL_TXT_000008,Precision,Presisi
PROPTROUPESKILL_TXT_000009,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.,Increases the Critical Chance of the next attack of all party members around the leader by 0.5% per party member.
PROPTROUPESKILL_TXT_000010,Linked Attack,Linked Attack
PROPTROUPESKILL_TXT_000011,Each party member around the leader increases the party leader's damage by 5%.,Setiap anggota party di sekitar leader menambahkan bonus 5% untuk party leader damage.
PROPTROUPESKILL_TXT_000012,Lucky Drop,Lucky Drop
PROPTROUPESKILL_TXT_000013,Increases the chance for Masquerpets to drop unique items.,Meningkatkan kemungkinan Masquerpet menjatuhkan unique item.
PROPTROUPESKILL_TXT_000014,Resting,Resting
PROPTROUPESKILL_TXT_000015,"Party members recover 1.5 times faster. If the party leader is an Assist, party members recover 1.8 times faster.","Anggota party pulih 1,5 kali lebih cepat. Jika party leader adalah anggota Assist party pulih 1,8 kali lebih cepat."
PROPTROUPESKILL_TXT_000016,Gift Box,Gift Box
PROPTROUPESKILL_TXT_000017,Increases the number of items dropped by Masquerpets.,Meningkatkan jumlah item yang dijatuhkan oleh Masquerpets.
PROPTROUPESKILL_TXT_000018,Global Attack,Global Attack
PROPTROUPESKILL_TXT_000019,Each party member gains a 2.5% damage bonus for every party member nearby. This does not apply to the leader if Linked Attack is active.,"Setiap anggota party menerima damage bonus 2,5% untuk setiap anggota party di sekitar mereka. Tidak berlaku untuk leader jika Linked Attack aktif."
