Key,English,Italian
ITEMTYPE_1H_SWORD,1H Sword,Spada 1M
ITEMTYPE_2H_SWORD,2H Sword,Spada 2M
ITEMTYPE_1H_AXE,1H Axe,Ascia 1M
ITEMTYPE_2H_AXE,2H Axe,Ascia 2M
ITEMTYPE_KNUCKLE,Knuckle,Pugno
ITEMTYPE_STICK,Stick,Bastone
ITEMTYPE_BOW,Bow,Arco
ITEMTYPE_YOYO,Yo-Yo,Yo-Yo
ITEMTYPE_WAND,Wand,Bacchetta
ITEMTYPE_STAFF,Staff,Cetro
ITEMTYPE_COSTUME,Costume,Costume
ITEMTYPE_SHOES,Shoes,Scarpe
ITEMTYPE_PICKUP,Pick-Up Pet,Compagno Raccoglitore
ITEMTYPE_REAR_PET,Raised Pet,Compagno Allevato
ITEMTYPE_CONSUMABLE,Consumable,Matierialo di Consumo
ITEMTYPE_BOARD,Board,Board
ITEMTYPE_CAR,Car,Auto
ITEMTYPE_WINGS,Wings,Ali
ITEMTYPE_BIKE,Bike,Bicicletta
ITEMTYPE_BERRY,Berry,Bacca
ITEMTYPE_DICE,Dice,Dadi
ITEMTYPE_BOX,Box,Scatola
ITEMTYPE_VANITY,Vanity,Vanità
ITEMTYPE_CHIP,Chip,Tessera
