Key,English,Japanese
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,ダーコン1地区エランパークス2団地
PATROL_DESTINATION_000003,Iblis Temple,イブリス神殿
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,レルエン山脈(北部)盗賊団
PATROL_DESTINATION_000005,Base Camp of the Thieves,盗賊団の本拠地
PATROL_DESTINATION_000006,Mars Dungeon,フラリスダンジョン
PATROL_DESTINATION_000007,Altar of Violet,バイオレットの祭壇
PATROL_DESTINATION_000008,Depths of the Dorian,ドリアンの深淵
PATROL_DESTINATION_000009,Lair of the Okean,オケアンの隠れ家
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange Entrance,Strange Entrance
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,The Lost Treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
