Key,English,Polish
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Fabryka Erons II
PATROL_DESTINATION_000003,Iblis Temple,Świątynia Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Złodzieje z Gór Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Główny Obóz Bandytów
PATROL_DESTINATION_000006,Mars Dungeon,Loch Mars
PATROL_DESTINATION_000007,Altar of Violet,Ołtarz Fioletu
PATROL_DESTINATION_000008,Depths of the Dorian,Głębie Doriana
PATROL_DESTINATION_000009,Lair of the Okean,Legowisko Okean
PATROL_DESTINATION_000010,Date Location,Lokacja Randki
PATROL_DESTINATION_000011,Strange Entrance,Dziwne wejście
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,Zagubiony skarb Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Las Kaillun
PATROL_DESTINATION_000014,Ankou Asylum,Azyl Ankou
