Key,English,Polish
STATBOARD_TXT_000000,1. General,1. Ogólne
STATBOARD_TXT_000001,2. Time,2. Czas
STATBOARD_TXT_000002,3. Class,3. Klasa
STATBOARD_TXT_000003,Total Damage,Całkowite Obrażenia
STATBOARD_TXT_000004,Skill Damage,Obrażenia Umiejętności
STATBOARD_TXT_000005,Damage Taken,Obrażenia Przyjęte
STATBOARD_TXT_000006,Healing Done,Leczenie Wykonane
STATBOARD_TXT_000007,Total Kills,Całkowite Zabójstwa
STATBOARD_TXT_000008,Total Deaths,Całkowite Śmierci
STATBOARD_TXT_000009,Damage Per Death,Obrażenia na Śmierć
STATBOARD_TXT_000010,Tanking Per Death,Tanking na Śmierć
STATBOARD_TXT_000011,Healing Per Death,Uzdrawianie na Śmierć
STATBOARD_TXT_000012,Kills Per Death,Zabójstwa na Śmierć
STATBOARD_TXT_000013,Damage Per Min,Obrażenia na Minutę
STATBOARD_TXT_000014,Tanking Per Min,Tanking na Minutę
STATBOARD_TXT_000015,Healing Per Min,Uzdrawianie na Minutę
STATBOARD_TXT_000016,Deaths Per Min,Śmierci na Minutę
STATBOARD_TXT_000017,Time Spent CC'd,Czas Spędzony w CC
STATBOARD_TXT_000018,CC's applied,Zastosowane CC
STATBOARD_TXT_000019,Damage Amped,Wzmacnianie Obrażeń
STATBOARD_TXT_000020,Damage Mitigated,Zmniejszanie Obrażeń
STATBOARD_TXT_000021,Damage Reflected,Odbite Obrażenia
STATBOARD_TXT_000022,,
STATBOARD_TXT_000023,,
STATBOARD_TXT_000024,,
STATBOARD_TXT_000025,,
STATBOARD_TXT_000026,,
STATBOARD_TOOLTIP_000000,Total seconds a player was crowd-controlled.,Całkowity czas gdy gracz był sparaliżowany.
STATBOARD_TOOLTIP_000001,Total seconds a player applied crowd-control effect on other players.,Całkowity czas gdy gracz aplikował paralig innym graczom.
STATBOARD_TOOLTIP_000002,"Total damage a player amplified through effects like Holycross, Swordcross, etc.","Total damage a player amplified through effects like Holycross, Swordcross, etc."
STATBOARD_TOOLTIP_000003,"Total damage a player mitigated through effects like Damage Redirection, etc.","Total damage a player mitigated through effects like Damage Redirection, etc."
