Key,English,Polish
LANGUAGE_CODE,EN,PL
UI_HOME_TITLE,Home,Strona Główna
UI_HOME_GUESTCHAR,Guest Character,Postać gościnna
UI_HOME_NEWCHAR,New Character,Nowa Postać
UI_HOME_NEWCHAR_TIP,Create a new character without account.,Stwórz nową postać bez konta.
UI_HOME_LOGIN,Sign In,Zaloguj się
UI_HOME_REGISTER,Sign Up,Rejestracja
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",Wprowadź Login i Hasło i naciśnij OK by wejść do gry.
UI_HOME_ALREADYACCOUNT,Already have an account?,Już posiadasz konto?
UI_HOME_WEBSITE,Website,Strona
UI_HOME_CREDITS,Credits,Podziękowania
UI_HOME_OR,Or,Lub
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Hasło:
UI_HOME_RECOVER,Forgot password?,Nie pamiętasz hasła?
UI_SELECTSERVER_TITLE,Select Server,Wybierz Serwer
UI_SELECTSERVER_BACK,Back,Powrót
UI_SELECTSERVER_NEXT,Next,Dalej
UI_SELECTSERVER_FULL,full,pełny
UI_SELECTSERVER_BUSY,busy,zajęty
UI_SELECTSERVER_BEST,best,najlepszy
UI_SELECTSERVER_NEWNAME,Please enter another name:,"Proszę, wpisz inną nazwę:"
UI_SELECTSERVER_NAMETITLE,Character Name,Nazwa postaci 
UI_CHARLIST_TITLE,Characters,Postacie
UI_CHARLIST_PLAY,Play,Graj
UI_CHARLIST_NEW,New,Nowy
UI_CHARLIST_DELETE,Delete,Skasuj
UI_DELETECHAR_TITLE,Delete Character,Skasuj Postać
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,Wymagane hasło do skasowania postaci\nWprowadź hasło
UI_DELETECHAR_NOPASS,Do you confirm?,Czy potwierdzasz?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week.",Imię skasowanej postaci będzie niedostępne przez tydzień po kasacji.
UI_NEWCHAR_NAME,Name:,Imię:
UI_NEWCHAR_GIRL,Girl,Dziewczyna
UI_NEWCHAR_BOY,Boy,Chłopiec
UI_MSGBOX_START,Start,Start
UI_MSGBOX_OK,Ok,OK
UI_MSGBOX_RETRY,Retry,Ponów
UI_MSGBOX_CANCEL,Cancel,Anuluj
UI_MSGBOX_YES,Yes,Tak
UI_MSGBOX_NO,No,Nie
UI_LOADINGSCREEN,"Loading, please wait...","Ładuję, proszę czekać..."
UI_OPTION_TITLE,Options,Ustawienia
UI_OPTION_MUSIC,Music,Muzyka
UI_OPTION_SOUND,Sound,Dźwięki
UI_OPTION_TEXQUALITY,Textures,Tekstury
UI_OPTION_TEXTOON,Cartoon,Kreskówkowy
UI_OPTION_TEXHIGH,High,Wysokie
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,Niskie
UI_OPTION_WEATHER,Weather,Pogoda
UI_OPTION_LANGUAGE,Language,Język
UI_OPTION_SAVE,Save,Zapisz
UI_NAVIGATOR_PLAYER,Player,Gracz
UI_NAVIGATOR_PARTY,Party,Drużyna
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,Potwór
UI_PRIVACY_NOTICE,Privacy Policy,Polityka Prywatności
UI_MSGBOX_ACCEPT,Accept,Akceptuj
UI_MSGBOX_DECLINE,Decline,Odmów
UI_MSGBOX_CLOSE,Close,Zamknij
UI_OPTION_SHADOWS,Shadows,Cienie
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,Maksymalna odległość
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,Maksymalna jakość
UI_OPTION_FULLSCREEN,Fullscreen,Pełny Ekran
UI_MOTION_TAB_MOT,Motion,Ruch
UI_MOTION_TAB_EMO,Emoticon,Emotikonki
UI_REVIVAL_TITLE,Resurrection,Wskrzeszenie
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar,Wskrześ przy Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight,Wskrześ przy Lodelight
UI_CHARINFO_BASE,Base,Baza
UI_CHARINFO_NAME,Name,Imię
UI_CHARINFO_LOGIN,Login,Login
UI_CHARINFO_JOB,Job,Klasa
UI_CHARINFO_LEVEL,Level,Poziom
UI_CHARINFO_SERVER,Server,Serwer
UI_CHARINFO_CHANNEL,Channel,Kanał
UI_CHARINFO_DETAIL,Detail,Szczegóły
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Punkty Atrybutów
UI_CHARINFO_APPLY,Apply,Zastosuj
UI_CHARINFO_RESET,Reset,Resetuj
UI_CHARINFO_CHANGESTATE,Change State,Zmień Stan
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,Current Stat Page: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page,Changing Stat Page
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.,Nadaj Atrybuty
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.,Wróć do poprzednich
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.,Swap stat pages.
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.,"Wybierz ""Zastosuj"" po zmianie atrybutów."
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc),Zwiększa siłę ataku (ATK) Broni (#cffb40000Oprócz Różdżek#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased","Zwiększa Obronę (DEF), Maks. HP, Maks. FP\noraz regenerację HP i FP."
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc",Zwiększa Szybkość Ataku\nSzansę na Unik i Blok\noraz Szansę na Cios Krytyczny (CRITICAL).\n#cffb40000Zwiększa siłę ataku Łuków.#nc
