Key,English,Portuguese
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Fábrica de Erons II
PATROL_DESTINATION_000003,Iblis Temple,Templo de Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Bandidos da Serra Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Esconderijo dos Bandidos
PATROL_DESTINATION_000006,Mars Dungeon,Masmorra Mars
PATROL_DESTINATION_000007,Altar of Violet,Altar Púrpura
PATROL_DESTINATION_000008,Depths of the Dorian,Profundezas de Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Covil de Okean
PATROL_DESTINATION_000010,Date Location,Data e Local
PATROL_DESTINATION_000011,Strange Entrance,Entrada Misteriosa
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,O Tesouro Perdido de Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
