Key,English,Russian
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,"Даркон-1, Эрониевая фактория-2"
PATROL_DESTINATION_000003,Iblis Temple,Храм Ужосса
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Воры из Леренских горок
PATROL_DESTINATION_000005,Base Camp of the Thieves,Лагерь воров
PATROL_DESTINATION_000006,Mars Dungeon,Марсова шахта
PATROL_DESTINATION_000007,Altar of Violet,Altar of Violet
PATROL_DESTINATION_000008,Depths of the Dorian,Depths of the Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Lair of the Okean
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange Entrance,Strange Entrance
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,The Lost Treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
