Key,English,Spanish
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Fábrica de Erons II
PATROL_DESTINATION_000003,Iblis Temple,Templo de Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Ladrones de las Montañas Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Campamento Base de los Ladrones
PATROL_DESTINATION_000006,Mars Dungeon,Mazmorra Mars
PATROL_DESTINATION_000007,Altar of Violet,Altar de Violet
PATROL_DESTINATION_000008,Depths of the Dorian,Profundidades de Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Guarida de Okean
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange Entrance,Strange Entrance
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,The Lost Treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
