Key,English,Thai
LANGUAGE_CODE,EN,TH
UI_HOME_TITLE,Home,บ้าน
UI_HOME_GUESTCHAR,Guest Character,ตัวละครรับเชิญ
UI_HOME_NEWCHAR,New Character,ตัวละครใหม่
UI_HOME_NEWCHAR_TIP,Create a new character without account.,สร้างตัวละครใหม่โดยไม่มีบัญชี
UI_HOME_LOGIN,Sign In,เข้าสู่ระบบ
UI_HOME_REGISTER,Sign Up,ลงทะเบียน
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",กรอก ID และ password และ กด OK เพื่อเข้าสู่เกมส์
UI_HOME_ALREADYACCOUNT,Already have an account?,มีบัญชีแล้วหรือยัง
UI_HOME_WEBSITE,Website,เว็บไซต์
UI_HOME_CREDITS,Credits,เครดิต
UI_HOME_OR,Or,หรือ
UI_HOME_LOGIN_DOTS,Email:,Email:
UI_HOME_PASSWORD,Password:,Password:
UI_HOME_RECOVER,Forgot password?,ลืม password?
UI_SELECTSERVER_TITLE,Select Server,เลือก Server
UI_SELECTSERVER_BACK,Back,ย้อนกลับ
UI_SELECTSERVER_NEXT,Next,ถัดไป
UI_SELECTSERVER_FULL,full,เต็ม
UI_SELECTSERVER_BUSY,busy,หนาแน่น
UI_SELECTSERVER_BEST,best,ดี
UI_SELECTSERVER_NEWNAME,Please enter another name:,โปรดใช้ชื่ออื่น
UI_SELECTSERVER_NAMETITLE,Character Name,ชื่อตัวละคร
UI_CHARLIST_TITLE,Characters,ตัวละคร
UI_CHARLIST_PLAY,Play,เล่น
UI_CHARLIST_NEW,New,ใหม่
UI_CHARLIST_DELETE,Delete,ลบ
UI_DELETECHAR_TITLE,Delete Character,ลบตัวละคร
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,ใช้รหัสผ่านเพื่อลบตัวละคร\nกรุณากรอกรหัสผ่าน
UI_DELETECHAR_NOPASS,Do you confirm?,ยืนยันหรือไม่?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week.",หากคุณลบตัวละครแล้ว คุณจะไม่สามารถใช้ชื่อนี้ได้อีก เป็นเวลา 1 สัปดาห์
UI_NEWCHAR_NAME,Name:,ชื่อ:
UI_NEWCHAR_GIRL,Girl,หญิง
UI_NEWCHAR_BOY,Boy,ชาย
UI_MSGBOX_START,Start,Start
UI_MSGBOX_OK,Ok,Ok
UI_MSGBOX_RETRY,Retry,ลองใหม่
UI_MSGBOX_CANCEL,Cancel,ยกเลิก
UI_MSGBOX_YES,Yes,ใช่
UI_MSGBOX_NO,No,ไม่ใช่
UI_LOADINGSCREEN,"Loading, please wait...",กำลังโหลด กรุณารอสักครู่ ...
UI_OPTION_TITLE,Options,ตัวเลือก
UI_OPTION_MUSIC,Music,ดนตรี
UI_OPTION_SOUND,Sound,เสียง
UI_OPTION_TEXQUALITY,Textures,พื้นผิว
UI_OPTION_TEXTOON,Cartoon,การ์ตูน
UI_OPTION_TEXHIGH,High,สูง
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,ต่ำ
UI_OPTION_WEATHER,Weather,สภาพอากาศ
UI_OPTION_LANGUAGE,Language,ภาษา
UI_OPTION_SAVE,Save,บันทึก
UI_NAVIGATOR_PLAYER,Player,ผู้เล่น
UI_NAVIGATOR_PARTY,Party,ปาร์ตี้
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,มอนสเตอร์
UI_PRIVACY_NOTICE,Privacy Policy,นโยบายความเป็นส่วนตัว
UI_MSGBOX_ACCEPT,Accept,ตกลง
UI_MSGBOX_DECLINE,Decline,ปฏิเสธ
UI_MSGBOX_CLOSE,Close,ปิด
UI_OPTION_SHADOWS,Shadows,เงา
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,ระยะสูงสุด
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,คุณภาพสูงสุด
UI_OPTION_FULLSCREEN,Fullscreen,Fullscreen
UI_MOTION_TAB_MOT,Motion,Motion
UI_MOTION_TAB_EMO,Emoticon,อิโมชั่น
UI_REVIVAL_TITLE,Resurrection,คืนชีพ
UI_REVIVAL_LODESTAR,Lodestar,Lodestar
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar,คืนชีพสู่Lodestar
UI_REVIVAL_LODELIGHT,Lodelight,Lodelight
UI_REVIVAL_LODELIGHT_TIP,Revive to Lodelight,คืนชีพสู่ Lodelight
UI_CHARINFO_BASE,Base,ฐานทัพ
UI_CHARINFO_NAME,Name,ชื่อ
UI_CHARINFO_LOGIN,Login,Login
UI_CHARINFO_JOB,Job,อาชีพ
UI_CHARINFO_LEVEL,Level,เลเวล
UI_CHARINFO_SERVER,Server,Server
UI_CHARINFO_CHANNEL,Channel,Channel
UI_CHARINFO_DETAIL,Detail,รายละเอียด
UI_CHARINFO_STR,STR,STR
UI_CHARINFO_STA,STA,STA
UI_CHARINFO_DEX,DEX,DEX
UI_CHARINFO_INT,INT,INT
UI_CHARINFO_STATPOINTS,Stat Points,Stat Points
UI_CHARINFO_APPLY,Apply,Apply
UI_CHARINFO_RESET,Reset,รีเซ็ต
UI_CHARINFO_CHANGESTATE,Change State,เปลี่ยน State
UI_CHARINFO_CURRENTPAGE,Current Stat Page: %d,หน้า Stat ปัจจุบัน: %d
UI_CHARINFO_CHANGEPAGE_TITLE,Changing Stat Page,เปลี่ยนหน้า Stat
UI_CHARINFO_APPLY_TOOLTIP,Apply new Stats.,ใช้ค่า Stats ใหม่
UI_CHARINFO_RESET_TOOLTIP,Return to Previous Stats.,กลับสู่ Stats เดิม
UI_CHARINFO_CHANGEPAGE_TOOLTIP,Swap stat pages.,สลับหน้า Stat
UI_CHARINFO_PLUSMINUS_TOOLTIP,Select Apply after you change your Stat points.,เลือก Apply หลังจากเปลี่ยน Stat points
UI_CHARINFO_STR_TOOLTIP,Strengthens Attack Power of Weapon (#cffb40000Except for wand#nc),เพิ่มพลังโจมตีของอาวุธ (#cffb40000ยกเว้น wand#nc)
UI_CHARINFO_STA_TOOLTIP,"Strengthens Defense, Max. HP, Max. FP\nHP, FP recovery rate increased","เพิ่มพลังป้องกันสูงสุด Max. HP, Max. FP\nHP, อัตราการกู้คืน FP เพิ่มขึ้น"
UI_CHARINFO_DEX_TOOLTIP,"Attack speed increased\nEvasion Rate, Blocking Rate increased\nIncreases Critical Hit Chance.\n#cffb40000Striking power of bow is increased.#nc",ความเร็วในการโจมตีเพิ่มขึ้น\nอัตราการหลบหลีก อัตราการบล็อคเพิ่มขึ้น\nเพิ่มโอกาสCritical Hit \n#cffb40000 พลังโจมตีของธนูเพิ่มขึ้น#nc
UI_CHARINFO_INT_TOOLTIP,Amount of Max. MP is increased.\nMagic Attack Power,จำนวนสูงสุด MP เพิ่มขึ้น\nพลังโจมตีเวทย์มนตร์
UI_CHARINFO_GP_TOOLTIP,Select Apply after you change your Stat points.,เลือก Apply หลังจากเปลี่ยน Stat points
UI_CHARINFO_PVP_DUELFAME,Duel Fame,Duel Fame
UI_CHARINFO_PVP_DUELPOINT,Duel Point,Duel Point
UI_CHARINFO_PVP_KILLPOINT,Killing Point,Killing Point
UI_CHARINFO_PVP_KARMALEVEL,Karma Level,Karma Level
UI_CHARINFO_PVP_KARMAPOINT,Karma Point,Karma Point
UI_CHARINFO_PVPPK,PVP/PK,PVP/PK
UI_TOOLTIP_SEX_MALE,Sex: Male,เพศ: ชาย
UI_TOOLTIP_SEX_FEMALE,Sex: Female,เพศ: หญิง
UI_TOOLTIP_HARVEST_TIMEREDUC,Time Reduction Level,ระดับการลดเวลา
UI_TOOLTIP_HARVEST_YIELDBONUS,Yield Bonus Level,ระดับโบนัสผลตอบแทน
UI_TOOLTIP_HARVEST_SPAWNBONUS,Carrier Chance Bonus Level,ระดับโบนัสโอกาส
UI_TOOLTIP_ONEHAND,One-handed weapon.,อาวุธมือเดียว
UI_TOOLTIP_TWOHAND,Two-handed weapon.,อาวุธสองมือ
UI_TOOLTIP_ATTACK_BASE,Base Attack:,พลังโจมตีพื้นฐาน:
UI_TOOLTIP_DEF_BASE,Base Defense:,พลังป้องกันพื้นฐาน:
UI_TOOLTIP_ATTACK,Attack:,พลังโจมตี:
UI_TOOLTIP_DEF_A,Defense:,พลังป้องกัน:
UI_TOOLTIP_ATTACK_SPEED,Attack speed: %s,ความเร็วในการโจมตี: %s
UI_TOOLTIP_REQ_JOB,Req Job:,ต้องการอาชีพ:
UI_TOOLTIP_REQ_LEVEL,Required Level: %d,เลเวลที่ต้องการ: %d
UI_TOOLTIP_REQ,Requires %s,Requires %s
UI_TOOLTIP_RESTORE_MP,Restore MP: %d,ฟื้นฟู MP: %d
UI_TOOLTIP_CONSUME_MP,MP: %d,MP: %d
UI_TOOLTIP_CONSUME_FP,FP: %d,FP: %d
UI_TOOLTIP_RESTORE_HP,Restore HP: %d,ฟื้นฟู HP: %d
UI_TOOLTIP_RESTORE_FP,Restore FP: %d,ฟื้นฟู FP: %d
UI_TOOLTIP_MAX_RESTORE,Effective up to %d,มีผลตั้งแต่%d
UI_TOOLTIP_INV_SUIT,Suit,ชุด
UI_TOOLTIP_INV_GAUNTLET,Gauntlet,ถุงมือ
UI_TOOLTIP_INV_BOOTS,Boots,รองเท้า
UI_TOOLTIP_INV_HELMET,Helmet,หมวก
UI_TOOLTIP_INV_CLO,Cloak,ผ้าคลุม
UI_TOOLTIP_INV_WEAPON,Weapon,Weapon
UI_TOOLTIP_INV_GUARD,Shield,โล่
UI_TOOLTIP_INV_MASK,Mask,หน้ากาก
UI_TOOLTIP_INV_RID,Flying Item,พาหนะ
UI_TOOLTIP_INV_NECKLACE,Necklace,สร้อยคอ
UI_TOOLTIP_INV_RING,Ring,แหวน
UI_TOOLTIP_INV_EARRING,Earring,Earring
UI_TOOLTIP_INV_BULLET,"Sub Weapon (Arrows, Posters)","อาวุธเสริม (ธนู,โปสเตอร์)"
UI_TOOLTIP_INV_CLOTHES_1,Fashion hat,หมวกแฟชั่น
UI_TOOLTIP_INV_CLOTHES_2,Fashion costume,Fashion ชุด
UI_TOOLTIP_INV_CLOTHES_3,Fashion gloves,Fashion ถุงมือ
UI_TOOLTIP_INV_CLOTHES_4,Fashion shoes,Fashion รองเท้า
UI_TOOLTIP_MON_LVL,Lv.,Lv.
UI_TOOLTIP_MON_DROP,Booty:,Booty:
UI_TOOLTIP_MON_NO_DROP,None,ไม่มี
UI_MAP_MONINFO,Show monsters informations.,แสดงข้อมูลมอนสเตอร์
UI_TOOLTIP_DELETE_ITEM,The item dragged here is removed.,item ที่ลากมาที่นี่จะถูกลบออก
UI_INVENTORY_DELETE,Drop confirmation,คุณยืนยันที่จะทิ้ง
UI_INVENTORY_DELETE_CONFIRM,Really delete this item?,คุณต้องการลบไอเทมนี้หรือไม่
UI_INVENTORY_DELETE_CNT,Qty,จำนวน
UI_DIALOG,Dialog,Dialog
UI_DIALOG_TITLE,Conversation,การสนทนา
UI_DIALOG_ABOUT,Ask about %s,ถามเกี่ยวกับ %s
UI_OPTION_TAB_GAME,Game,เกม
UI_OPTION_TAB_CONTROLS,Controls,ควบคุม
UI_OPTION_TAB_VIDEO,Graphics,การแสดงผล
UI_OPTION_TAB_GRAPHICS,Video,วีดีโอ
UI_OPTION_TAB_AUDIO,Audio,เสียง
UI_OPTION_PM,Whispers and Messages,กระซิบและข้อความ
UI_OPTION_PARTY,Party and guild invites,การเชิญปาร์ตี้และกิลด์
UI_OPTION_FRIEND,Friend Invites,เชิญเพื่อน
UI_OPTION_SIEGE_CAPTION,Guild Siege Captions,ข้อความกิลด์
UI_OPTION_DISABLE_PANG,Disable Tutorial Pang,ปิดใช้งานการสอนของ Pang
UI_OPTION_COUPLE,Couple Proposals,Couple Proposals
UI_INSTANTMSG_TITLE,Message,ข้อความ
UI_MESSAGE_SEND,Send,ส่ง
UI_SHOP_TITLE,Shop,ร้านค้า
UI_SHOP_ITEMSLIST,Item List,รายการไอเทม
UI_TOOLTIP_PRICE,Price: %s,Price: %s
UI_TOOLTIP_SELLPRICE,Selling Price: %s,ราคาขาย: %s
UI_SHOP_FILTER,Search,ค้นหา
UI_SHOP_LEVEL,By Level,ด้วย เลเวล
UI_SHOP_GENDER,By Gender,ด้วย เพศ
UI_SHOP_ITEMPRICE,Item Price,ราคาไอเทม
UI_SELLITEM_TITLE,Selling Confirm,ยินยันที่จะขาย
UI_SELLITEM_CONFIRM,Really sell this item?,คุณยืนยันที่จะขายไอเทมชิ้นนี้
UI_SELLITEM_QTY,Quantity,จำนวน
UI_SELLITEM_PRICE,Selling Price:,ราคาขาย:
UI_MSGBOX_VALID,Ok,Ok
UI_BUYITEM_TITLE,Confirm Item Purchase,ยืนยันการซื้อไอเทม
UI_BUYITEM_CONFIRM,Do you want to buy?,คุณยืนยันที่จะซื้อใช่ไหม?
UI_BUYITEM_PRICE,Cost,ค่าใช้จ่าย
UI_OPTION_GRASS,Grass,หญ้า
UI_TOOLTIP_MAX_HP,Max. HP,HP สูงสุด
UI_TOOLTIP_MAX_MP,Max. MP,MP สูงสุด
UI_TOOLTIP_MAX_FP,Max. FP,FP สูงสุด
UI_TOOLTIP_SPEED,Speed,ความเร็ว
UI_TOOLTIP_ATKSPEED,Attack Speed,ความเร็วโจมตี
UI_TOOLTIP_BLOCKMELEE,Melee Block,Block โจมตีระยะใกล้
UI_TOOLTIP_HITRATE,Hit Rate,Hit Rate
UI_TOOLTIP_ABILITYMIN,Min. Ability,ความสามารถตํ่าสุด
UI_TOOLTIP_ABILITYMAX,Max. Ability,ความสามารถสูงสุด
UI_TOOLTIP_DEFENSE,Defense,ป้องกัน
UI_TOOLTIP_DEFMAGIC,Magic Defense,ป้องการเวทย์
UI_TOOLTIP_DEFELECTRICITY,Electricity Resistance,ต้านทานไฟฟ้า
