Key,English,Traditional_Chinese
TEXTCLIENT_CONNECTING,Connecting. Please wait.,連接中，請稍候
TEXTCLIENT_CANTCONNECT,Cannot connect to the game. Please check the network.,無法連線，請確認網路線狀態
TEXTCLIENT_OLDCLIENT,The game has been updated. Please close the page and open it again.,遊戲已更新，請關閉頁面並重新開啟。
TEXTCLIENT_WRONGSERVER,Wrong server identifier.,錯誤的伺服器名稱。
TEXTCLIENT_UNKNOWNERROR,"Unknown error, please try again.",未知錯誤，請再試一次。
TEXTCLIENT_ALREADYCONNECTED,Your account is already connected.,您的帳戶已連接。
TEXTCLIENT_DISCONNECTOTHER,Do you want to disconnect the other device?,您要離開其他裝置的連線嗎？
TEXTCLIENT_DISCONNECTING,The device is being disconnected. Please login again in 10 seconds.,這裝置正在解除連接。請在10秒後重新登入。
TEXTCLIENT_CHANNELFULL,"This channel is currently full, please wait a moment or select another channel.",此伺服器目前已滿載，請稍候或選擇其他伺服器。
TEXTCLIENT_NAMEALREADYUSED,That character name is already in use.,已有人使用相同的角色名稱
TEXTCLIENT_BIGMONSTER,Boss Monster Detected!,怪物首領出現了！
TEXTCLIENT_APP_MAP,World Map,世界地圖
TEXTCLIENT_APP_OPTION,Options,選項
TEXTCLIENT_APP_LOGOUT,Logout,登出
TEXTCLIENT_APP_QUIT,Quit,離開
TEXTCLIENT_APP_SUPPORT,Support,協助
TEXTCLIENT_APP_PRIVACY,Privacy,Privacy
TEXTCLIENT_APP_NAVIGATOR,Navigator,導航系統
TEXTCLIENT_APP_DEBUG,Debug,除錯
TEXTCLIENT_LOGGINGOUT,Logging out in %d sec(s).,%d秒後，結束遊戲
TEXTCLIENT_CHARACTERCHANGE,Changing character in %d sec(s).,在 %d 秒內更改角色。
TEXTCLIENT_LINKACCOUNT,Linking account in %d sec(s).,在 %d 秒內連接帳號。
TEXTCLIENT_LOGOUT,Do you want to disconnect?,要結束與此伺服器的連線嗎
TEXTCLIENT_LOGOUT_GUEST,#cffff0000You will lose your guest character.#nc Please link an account.,#cffff0000您將失去您的訪者角色。#nc 請連接一個帳號。
TEXTCLIENT_EXIT,Do you want to exit the program?,要結束遊戲程式嗎
TEXTCLIENT_DISCONNECTED,Disconnected from the server.,與伺服器連線中斷
TEXTCLIENT_CREATIONDISABLED,Character creation is disabled on this server.,無法在此伺服器創建角色。
TEXTCLIENT_MAPHIDDEN,There seems to be an evil force clouding your vision of the area.,因黑暗之氣而無法看到該地區。
TEXTCLIENT_ITEM_DESC,Description:,說明：
TEXTCLIENT_INVALIDCHARACTERS,This name contains unauthorized characters.,此名稱包含未經許可的文字或符號。
TEXTCLIENT_INVALIDNAME,This name contains unauthorized words.,此名稱包含未經許可使用的字詞。
TEXTCLIENT_IPBANNED,Your public internet address has been banned. Contact the administrator for more informations.,您的IP網址已被禁止，請聯繫你的網路管理員查明相關資訊。
TEXTCLIENT_IPRESTRAINTED,The game is currently not available in your country.,此遊戲目前在您所在的國家/地區無法使用。
TEXTCLIENT_IPBLOCKED,An important activity has been detected on your public internet address. Please wait %s before trying again.,在您的網路上檢測到不安全的活動。 請等待 %s後再重試。
TEXTCLIENT_SECS,second(s),秒
TEXTCLIENT_MINS,minute(s),分鐘
TEXTCLIENT_HOURS,hour(s),小時
TEXTCLIENT_SESSIONEXPIRED,"Your session has expired, please enter your login and password again.",您的登入已逾時，請重新輸入您的帳號和密碼。
TEXTCLIENT_ADMIN,Admin,管理
TEXTCLIENT_DEVELOPER,Dev,開發
TEXTCLIENT_GAMEMASTER,Game Master,GM
TEXTCLIENT_MODERATOR,MOD,模式
TEXTCLIENT_VENDOR_NPC,[Vendor],[行動商店]
TEXTCLIENT_APP_CHAT,Chatting,聊天
TEXTCLIENT_INVALIDLOGIN,Your login or password is invalid.,您的帳號或密碼無效。
