Key,English,Traditional_Chinese
LANGUAGE_CODE,EN,TW
UI_HOME_TITLE,Home,家
UI_HOME_GUESTCHAR,Guest Character,訪客角色
UI_HOME_NEWCHAR,New Character,創建角色
UI_HOME_NEWCHAR_TIP,Create a new character without account.,創建不需要帳號的新角色
UI_HOME_LOGIN,Sign In,登入
UI_HOME_REGISTER,Sign Up,報名
UI_HOME_LOGIN_TIP,"Enter ID & password, and press OK to connect to the game.",輸入ID和密碼，按下OK後連線到遊戲
UI_HOME_ALREADYACCOUNT,Already have an account?,已經有一個帳號了嗎?
UI_HOME_WEBSITE,Website,網站
UI_HOME_CREDITS,Credits,信用
UI_HOME_OR,Or,或
UI_HOME_LOGIN_DOTS,Email:,郵箱：
UI_HOME_PASSWORD,Password:,密碼：
UI_HOME_RECOVER,Forgot password?,忘記密碼?
UI_SELECTSERVER_TITLE,Select Server,選擇伺服器
UI_SELECTSERVER_BACK,Back,返回
UI_SELECTSERVER_NEXT,Next,下一個
UI_SELECTSERVER_FULL,full,滿載
UI_SELECTSERVER_BUSY,busy,繁忙
UI_SELECTSERVER_BEST,best,最佳
UI_SELECTSERVER_NEWNAME,Please enter another name:,請輸入另一個名稱：
UI_SELECTSERVER_NAMETITLE,Character Name,角色名稱
UI_CHARLIST_TITLE,Characters,所有角色
UI_CHARLIST_PLAY,Play,進入遊戲
UI_CHARLIST_NEW,New,清除
UI_CHARLIST_DELETE,Delete,刪除角色
UI_DELETECHAR_TITLE,Delete Character,刪除角色
UI_DELETECHAR_PASS,Password for deleting character\nEnter the password,輸入密碼來刪除角色\n輸入密碼
UI_DELETECHAR_NOPASS,Do you confirm?,你確定嗎?
UI_DELETECHAR_NOTICE,"If you delete a character, you cannot use its name during a week.",如果你刪除角色，一周內無法使用這個角色的名字
UI_NEWCHAR_NAME,Name:,劇團名稱：
UI_NEWCHAR_GIRL,Girl,女
UI_NEWCHAR_BOY,Boy,男
UI_MSGBOX_START,Start,開始
UI_MSGBOX_OK,Ok,確認
UI_MSGBOX_RETRY,Retry,再試一次
UI_MSGBOX_CANCEL,Cancel,取消
UI_MSGBOX_YES,Yes,是
UI_MSGBOX_NO,No,否
UI_LOADINGSCREEN,"Loading, please wait...",連線中，請稍後
UI_OPTION_TITLE,Options,選項
UI_OPTION_MUSIC,Music,音樂
UI_OPTION_SOUND,Sound,音效
UI_OPTION_TEXQUALITY,Textures,紋理材質
UI_OPTION_TEXTOON,Cartoon,卡通
UI_OPTION_TEXHIGH,High,高
UI_OPTION_TEXMID,Medium,Medium
UI_OPTION_TEXLOW,Low,低
UI_OPTION_WEATHER,Weather,天氣
UI_OPTION_LANGUAGE,Language,語言
UI_OPTION_SAVE,Save,儲存
UI_NAVIGATOR_PLAYER,Player,玩家
UI_NAVIGATOR_PARTY,Party,劇團
UI_NAVIGATOR_NPC,NPC,NPC
UI_NAVIGATOR_MONSTER,Monster,怪物
UI_PRIVACY_NOTICE,Privacy Policy,隱私政策
UI_MSGBOX_ACCEPT,Accept,同意
UI_MSGBOX_DECLINE,Decline,拒絕
UI_MSGBOX_CLOSE,Close,關閉
UI_OPTION_SHADOWS,Shadows,陰影
UI_OPTION_SHADOWS_MAXDIST,Maximum Distance,最大距離
UI_OPTION_SHADOWS_MAXQUALITY,Maximum Quality,最大品質
UI_OPTION_FULLSCREEN,Fullscreen,全螢幕
UI_MOTION_TAB_MOT,Motion,動作
UI_MOTION_TAB_EMO,Emoticon,情緒
UI_REVIVAL_TITLE,Resurrection,復活術
UI_REVIVAL_LODESTAR,Lodestar,生命光柱
UI_REVIVAL_LODESTAR_TIP,Revive to Lodestar,在生命光柱復活
UI_REVIVAL_LODELIGHT,Lodelight,生命光塔
