Key,English,Vietnamese
PATROL_DESTINATION_000002,Darkon 1: Erons Factory II,Darkon 1: Nhà máy Erons II
PATROL_DESTINATION_000003,Iblis Temple,Đền Iblis
PATROL_DESTINATION_000004,Thieves of the Leren Mountains,Những tên trộm của Dãy núi Leren
PATROL_DESTINATION_000005,Base Camp of the Thieves,Trại chính của những tên trộm
PATROL_DESTINATION_000006,Mars Dungeon,Hầm ngục sao Hỏa
PATROL_DESTINATION_000007,Altar of Violet,Altar of Violet
PATROL_DESTINATION_000008,Depths of the Dorian,Depths of the Dorian
PATROL_DESTINATION_000009,Lair of the Okean,Lair of the Okean
PATROL_DESTINATION_000010,Date Location,Date Location
PATROL_DESTINATION_000011,Strange Entrance,Strange Entrance
PATROL_DESTINATION_000012,The Lost Treasure of Herneos,The Lost Treasure of Herneos
PATROL_DESTINATION_000013,Kaillun Forest,Kaillun Forest
PATROL_DESTINATION_000014,Ankou Asylum,Ankou Asylum
